id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,chrt,sex,subpop
1,PB,PB,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Male,GG
2,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Male,NA
3,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Female,GG
4,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Male,GG
5,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Female,GG
6,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Male,GG
7,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Male,GG
8,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Male,GG
9,PB,PB,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0,0,0,0,2000,Female,GG
10,PB,PB,B,PO,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0,0,2000,Female,NA
11,PB,0,B,PO,B,B,B,B,B,B,B,B,B,0,0,0,0,0,0,0,0,0,0,2000,Male,GG
12,PB,PB,0,B,B,B,B,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Male,GG
13,PB,PB,PB,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,PO,0,2000,Male,GG
14,PB,0,PB,B,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Female,BO
15,PB,PB,0,B,B,B,B,B,0,B,B,B,B,B,B,B,0,0,B,0,0,0,0,2000,Female,BO
16,PB,0,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Male,GG
17,PB,0,0,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Female,BO
18,PB,PB,0,0,0,0,0,B,B,B,B,B,B,B,B,B,B,B,0,0,0,0,0,2000,Female,GG
19,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Male,NA
20,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Male,NA
21,0,PB,0,PB,0,0,PB,PB,0,PB,B,PO,PO,B,0,0,0,0,B,0,0,0,0,2001,Female,NA
